# select substr(TS_DAY,1,4) || '-' || substr(TS_DAY,5,2) || '-' || substr(TS_DAY,7,2) as T, 
# UPASS_2010, UPASS_2011, UPASS_2012, UPASS_2013,
# MONTHLYPASS_2010, MONTHLYPASS_2011, MONTHLYPASS_2012, MONTHLYPASS_2013,
# DISCOUNTPASS_2010, DISCOUNTPASS_2011, DISCOUNTPASS_2012, DISCOUNTPASS_2013
# from V_YEARSPREAD

########################################################################################
2013-05-19,5804,6037,3179,,15701,15608,8185,,7639,8966,4699,
2013-05-20,5825,6115,2348,,15938,14719,6045,,7932,7824,3658,
2013-05-21,5357,2749,2330,,15011,8345,5639,,6938,5063,3288,
2013-05-22,2493,2142,6543,,8782,6875,13942,,4694,4040,7311,
2013-05-23,2075,2397,6686,,6904,6912,14231,,3821,4146,7553,
2013-05-24,2048,6174,6427,,6698,14967,14063,,3506,8296,7468,
2013-05-25,5717,6103,6536,,15254,14910,13753,,7311,7981,7947,
2013-05-26,5805,5927,3334,,14943,15246,8189,,7095,8291,4906,
2013-05-27,5829,6167,2559,,15439,15203,6172,,7595,8996,3404,
2013-05-28,5539,2913,5867,,15146,8335,12850,,7333,5188,6683,
2013-05-29,2580,2280,6256,,8788,6919,13337,,4533,4237,7112,
2013-05-30,2032,5668,6460,,6600,14339,13236,,3177,7784,6924,
2013-05-31,5648,5960,6267,,14816,14930,13517,,7150,8237,6939,
2013-06-01,5552,6175,6653,,13419,12605,12314,,6046,6445,7023,
2013-06-02,5912,5941,3377,,14691,14152,8137,,7043,7444,5268,
2013-06-03,5795,6318,2553,,15221,14716,6194,,7545,9019,3846,
2013-06-04,5734,3168,6080,,15844,9302,13202,,8468,6034,7415,
2013-06-05,2802,2435,6292,,9679,7497,14577,,5440,4387,7549,
2013-06-06,2132,5905,6546,,6912,14584,14803,,3406,8118,8119,
2013-06-07,5659,6060,6469,,15497,15246,14594,,7825,8290,7688,
2013-06-08,5610,5898,6456,,16011,15341,15090,,8132,8748,8697,
2013-06-09,5791,6026,3445,,15872,15353,8974,,7989,8416,5587,
2013-06-10,5714,6103,2547,,16048,15313,6906,,8206,9280,4039,
2013-06-11,5625,3136,6057,,16480,9406,14368,,8794,5860,7691,
2013-06-12,2820,2242,6359,,9938,7380,14896,,5352,4207,7966,
2013-06-13,2221,5814,6317,,7426,14792,14874,,3863,8019,8122,
2013-06-14,5623,5888,6238,,15392,15563,14876,,7522,8718,8119,
2013-06-15,5707,6008,6390,,15857,15092,14996,,8006,8544,8562,
2013-06-16,5751,5693,3115,,16084,15283,8181,,7930,8810,4683,
2013-06-17,5473,5899,2345,,15778,15349,6760,,7915,9011,3768,
2013-06-18,5653,2968,5963,,15944,8630,13848,,8381,5140,7281,
2013-06-19,2492,2249,6371,,9391,6992,14633,,5248,3777,7513,
2013-06-20,1924,5773,6405,,7392,14780,14682,,3743,7839,7482,
2013-06-21,5192,5620,6175,,14894,15300,14234,,6886,8161,7232,
2013-06-22,5317,5898,6258,,15772,15308,13786,,7643,7796,7043,
2013-06-23,5649,5768,3184,,15796,15086,7761,,7231,7530,4571,
2013-06-24,5573,6215,2508,,15727,15217,6607,,7216,7441,3829,
2013-06-25,5545,2896,5760,,15345,8524,13227,,7041,4839,6071,
2013-06-26,2556,2240,6056,,8999,7089,13848,,4633,4018,6412,
2013-06-27,1922,4656,6060,,7082,13948,13829,,3382,6280,6294,
2013-06-28,4331,4642,5857,,14266,14191,13585,,6536,7026,6200,
2013-06-29,4347,4826,6134,,14826,14643,13010,,6633,7354,5988,
2013-06-30,4660,4356,3017,,15353,14672,7510,,5935,6726,3821,
2013-07-01,2895,3073,3005,,5904,5972,4871,,3212,3929,2975,
2013-07-02,3127,2512,2026,,10628,7024,5007,,5014,4217,3088,
2013-07-03,2234,2108,4385,,7567,6051,11255,,4195,3924,6187,
2013-07-04,2136,5398,5542,,6452,12372,12614,,3416,7095,7053,
2013-07-05,5194,5635,5807,,12833,13920,13199,,6506,7992,7356,
2013-07-06,5429,5761,5828,,13954,14247,13313,,7755,8162,8092,
2013-07-07,5343,5612,2946,,14309,14205,8217,,7896,7932,5320,
2013-07-08,5299,5749,2577,,14495,14309,6906,,7806,8569,4222,
2013-07-09,5232,2731,5445,,14185,8785,12973,,8334,5956,7630,
2013-07-10,2629,2276,5628,,8817,7183,13782,,5713,4440,7838,
2013-07-11,2071,5189,5635,,7330,13611,13734,,4187,8052,8099,
2013-07-12,5029,5358,5457,,13672,14279,13737,,7631,8491,8010,
2013-07-13,5041,5552,5662,,14427,14154,13112,,7800,8014,7985,
2013-07-14,5226,5366,3017,,14544,14245,8472,,8042,8177,5767,
2013-07-15,5165,5497,2127,,14501,14223,6170,,8041,8580,3960,
2013-07-16,4917,2621,5305,,14099,8658,13138,,8265,5489,7639,
2013-07-17,2602,2171,5702,,9023,6938,13531,,5342,4509,7597,
2013-07-18,2050,5323,5717,,6778,13607,13231,,4025,8298,7671,
2013-07-19,4825,5337,5766,,13286,14106,13544,,7487,8457,7579,
2013-07-20,5007,5242,5642,,14046,14240,12789,,7901,8484,7540,
2013-07-21,5080,5125,3081,,13989,13992,7938,,7605,8323,5172,
2013-07-22,4996,5332,2357,,13945,13721,6168,,7817,8890,3899,
2013-07-23,4774,2735,5254,,13784,8880,12345,,8304,5737,6958,
2013-07-24,2548,2325,5458,,8641,7018,12723,,5158,4442,7049,
2013-07-25,2070,4948,5492,,7183,13272,12893,,4030,7465,7506,
2013-07-26,4713,5208,5547,,13175,13667,12803,,6921,7964,7586,
2013-07-27,4839,5063,5112,,13728,13782,12319,,7040,8527,7666,
2013-07-28,4893,4895,2895,,13877,13959,7405,,7432,7937,4886,
2013-07-29,4622,5020,2378,,13908,13281,6007,,7366,8393,3631,
2013-07-30,4472,2718,4886,,13477,8219,11725,,7418,5687,5942,
2013-07-31,2291,2169,5240,,8169,6521,12265,,5070,4475,6112,
2013-08-01,1996,1978,5187,,5143,5148,10982,,2576,2775,4256,
2013-08-02,1899,4524,4979,,5380,11069,11964,,2896,4869,4886,
2013-08-03,4353,4588,5130,,11309,12413,12344,,5039,5537,5191,
2013-08-04,4273,4284,2811,,12541,12810,7743,,5477,5566,3792,
2013-08-05,4219,4448,2397,,12925,13057,6443,,5571,6074,3448,
2013-08-06,4324,2421,2290,,13275,8303,6538,,5788,4471,3389,
2013-08-07,2265,1927,4605,,7532,6578,12575,,3658,3645,5153,
2013-08-08,2048,4102,4550,,7251,13255,13797,,3630,5538,5174,
2013-08-09,4068,4050,4756,,12963,13861,13941,,5333,5820,5530,
